omitted_task,record_count,repeat_disagreement_rate,permutation_disagreement_rate,absolute_excess_disagreement,permutation_only_count,repeat_only_count
T1,290,0.1206896551724138,0.23448275862068965,0.11379310344827585,49,16
T10,290,0.11724137931034483,0.23793103448275862,0.1206896551724138,51,16
T11,290,0.12413793103448276,0.2413793103448276,0.11724137931034484,51,17
T12,290,0.1206896551724138,0.23103448275862068,0.11034482758620688,49,17
T13,290,0.1206896551724138,0.2413793103448276,0.1206896551724138,51,16
T14,290,0.12413793103448276,0.2413793103448276,0.11724137931034484,51,17
T15,290,0.12413793103448276,0.2413793103448276,0.11724137931034484,51,17
T16,290,0.11724137931034483,0.23793103448275862,0.1206896551724138,51,16
T17,290,0.1206896551724138,0.23793103448275862,0.11724137931034483,51,17
T18,290,0.12413793103448276,0.23103448275862068,0.10689655172413792,48,17
T19,290,0.12413793103448276,0.2413793103448276,0.11724137931034484,51,17
T2,290,0.11724137931034483,0.24482758620689654,0.1275862068965517,52,15
T20,290,0.11379310344827587,0.22758620689655173,0.11379310344827587,50,17
T21,290,0.11724137931034483,0.23793103448275862,0.1206896551724138,50,15
T22,290,0.1206896551724138,0.23793103448275862,0.11724137931034483,50,16
T23,290,0.1206896551724138,0.23448275862068965,0.11379310344827585,50,17
T24,290,0.1206896551724138,0.23793103448275862,0.11724137931034483,50,16
T25,290,0.12413793103448276,0.22758620689655173,0.10344827586206898,47,17
T26,290,0.1206896551724138,0.23448275862068965,0.11379310344827585,50,17
T27,290,0.1206896551724138,0.23793103448275862,0.11724137931034483,50,16
T28,290,0.11379310344827587,0.22758620689655173,0.11379310344827587,49,16
T29,290,0.1206896551724138,0.2413793103448276,0.1206896551724138,52,17
T3,290,0.1206896551724138,0.24482758620689654,0.12413793103448274,52,16
T30,290,0.11379310344827587,0.23103448275862068,0.11724137931034481,51,17
T4,290,0.1206896551724138,0.24482758620689654,0.12413793103448274,52,16
T5,290,0.11724137931034483,0.23103448275862068,0.11379310344827585,50,17
T6,290,0.11724137931034483,0.23793103448275862,0.1206896551724138,51,16
T7,290,0.1206896551724138,0.23448275862068965,0.11379310344827585,49,16
T8,290,0.1206896551724138,0.23448275862068965,0.11379310344827585,50,17
T9,290,0.1206896551724138,0.23448275862068965,0.11379310344827585,49,16
